web-scraper-order,web-scraper-start-url,base,base-href,superficie,nbr_pieces,nbr_salle_bain,adresse
"1739532501-1","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-800-m-fann-2041560","800 m2","9","7","Fann, Dakar, Sénégal"
"1739532504-2","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-fann-2041665","500","10","5","Fann, Dakar, Sénégal"
"1739532531-3","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-10-pieces-almadies-2041734","600 m2","10","9","Ngor, Dakar, Sénégal"
"1739532538-4","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-zac-mbao-2041809","","160 m2","","Dieuppeul-Derklé, Dakar, Sénégal"
"1739532564-5","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-somone-2042056","300 m2","3","3","Thies, Sénégal"
"1739532569-6","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-basse-4-pieces-ouest-foire-2042064","150","4","3","Sicap Liberté, Dakar, Sénégal"
"1739532584-7","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-10-pieces-point-e-2042109","750","10","7","Point E, Dakar, Sénégal"
"1739532589-8","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-150-m-hlm-2042197","","150 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739532597-9","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-dieupeul-2042202","","140 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739532604-10","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-somone-2042261","600 m2","8","5","Mbour, Sénégal"
"1739532614-11","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ouakam-2042388","200 m2","5","3","Ngor, Dakar, Sénégal"
"1739532622-12","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-maison-thies-2042557","300 m2","6","3","Thies Ouest, Thiès, Sénégal"
"1739532648-13","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbao-2043954","","150 m2","","Keur Massar, Sénégal"
"1739532655-14","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-maison-4-pieces-saly-diacksao-2044046","450 m2","3","2","Saly, Sénégal"
"1739532664-15","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-niague-lac-ros-2044123","","150 m2","","Niaga, Sénégal"
"1739532672-16","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-a-somonembour-2044128","600 m2","5","5","Mbour, Sénégal"
"1739532677-17","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-hann-bel-air-2044164","150","4","4","Hann Bel-Air, Dakar, Sénégal"
"1739532703-18","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-ngaparou-mbour-2044220","512 m2","3","3","Mbour, Sénégal"
"1739532720-19","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-saly-2044557","","1000 m2","","Saly, Sénégal"
"1739532728-20","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-petit-mbao-2044640","","300 m2","","Dakar, Sénégal"
"1739532735-21","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-3-pieces-a-mermoz-sacre-coeur-2045457","150","3","2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739532739-22","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2045712","","","","Yoff, Dakar, Sénégal"
"1739532743-23","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vete-villa-7-pieces-380-m-almadies-2045975","380 m2","7","5","Ngor, Dakar, Sénégal"
"1739532755-24","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-kounoune-2045988","300 m2","8","5","Dakar, Sénégal"
"1739532760-25","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-4-pieces-ngor-2046521","200","3","1","Ngor, Dakar, Sénégal"
"1739532765-26","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-200-m-sacre-cur-vdn-2046570","","200 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739532774-27","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-derkle-2046750","662 m2","3","2","Dieuppeul-Derklé, Dakar, Sénégal"
"1739532779-28","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-hlm-2047121","","180 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739532783-29","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-mermoz-pyrotechnique-2047224","341 m2","7","4","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739532789-30","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-golf-2047328","150 m2","3","3","Guediawaye, Dakar, Sénégal"
"1739532794-31","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-belle-villa-6-pieces-a-la-cite-air-france-ouest-foire-2047383","224 m2","6","4","Yoff, Dakar, Sénégal"
"1739532804-32","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-mermoz-2047439","","5","3","Dakar, Sénégal"
"1739532812-33","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-r1-ouest-foire-2048972","1 m2","6","3","Yoff, Dakar, Sénégal"
"1739532818-34","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2049437","","300 m2","","Dakar, Sénégal"
"1739532830-35","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-petit-mbao-2049458","","300 m2","","Dakar, Sénégal"
"1739532837-36","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-2049502","400 m2","7","4","Ouakam, Dakar, Sénégal"
"1739532851-37","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-niaga-2049786","","","","Niaga, Sénégal"
"1739532859-38","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbao-2049829","","300 m2","","Niaga, Sénégal"
"1739532866-39","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-cite-africa-2050293","800 m2","5","3","Dakar Plateau, Dakar, Sénégal"
"1739532882-40","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-rufisque-2050598","200","10","7","Rufisque, Sénégal"
"1739532888-41","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-rufisque-2050623","150 m2","7","3","Medina, Dakar, Sénégal"
"1739532892-42","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-cite-sotrac-2050950","","150 m2","","Dakar, Sénégal"
"1739532896-43","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-keur-massar-unite-4-2051300","","","","Dakar, Sénégal"
"1739532902-44","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-10-pieces-almadies-2051348","1 m2","10","9","Ngor, Dakar, Sénégal"
"1739532907-45","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-basse-300-m-amitie-1-2051912","300","4","3","Point E, Dakar, Sénégal"
"1739532911-46","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-113-m-sicap-liberte-6-2052000","113","4","2","Sicap Liberté, Dakar, Sénégal"
"1739532916-47","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-ngor-2052043","150","3","1","Ngor, Dakar, Sénégal"
"1739532925-48","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-malika-plage-2054432","","150 m2","","Biscuiterie, Dakar, Sénégal"
"1739532930-49","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-yoff-2054880","300","5","4","Yoff, Dakar, Sénégal"
"1739532935-50","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-tivaoune-peulh-2055433","150","4","2","Guediawaye, Dakar, Sénégal"
"1739532942-51","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2055470","","150","","Pikine, Sénégal"
"1739532953-52","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-keur-massar-2055497","","150","","Keur Massar, Sénégal"
"1739532961-53","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-liberte-6-extension-2055957","","325","","Dakar, Sénégal"
"1739532969-54","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-yoff-2056100","","1","210 m2","Yoff, Dakar, Sénégal"
"1739532976-55","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-patte-doie-2056136","","150","","Patte d'oie, Dakar, Sénégal"
"1739532981-56","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-yoff-2056288","","7","7","Dakar, Sénégal"
"1739532988-57","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-mbao-2057198","150 m2","4","4","Rufisque, Sénégal"
"1739532992-58","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-maison-en-finition-10-pieces-170-m-bene-barack-2058047","170","8","4","Guediawaye, Dakar, Sénégal"
"1739532995-59","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-petit-mbao-2060774","","300 m2","","Dakar, Sénégal"
"1739533000-60","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2060815","","300 m2","","Dakar, Sénégal"
"1739533007-61","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-vlila-niague-2060839","","150 m2","","Dakar, Sénégal"
"1739533013-62","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-niague-2060910","","150 m2","","Dakar, Sénégal"
"1739533016-63","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2061041","","160","","Dakar, Sénégal"
"1739533021-64","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-golf-sud-2061055","","","","Dakar, Sénégal"
"1739533024-65","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-niague-lac-ros-2061059","","","","Dakar, Sénégal"
"1739533027-66","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-150m-malika-plage-2061079","","150","","Dakar, Sénégal"
"1739533031-67","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-150-m-keur-baye-fall-2061147","150 m2","2","1","Pikine, Sénégal"
"1739533036-68","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-2061413","600 m2","5","5","Mbour, Sénégal"
"1739533041-69","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-allioune-sow-2061480","","150 m2","","Guédiawaye, Dakar, Sénégal"
"1739533047-70","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-ngor-almadies-2061604","150 m2","3","3","Ngor, Dakar, Sénégal"
"1739533053-71","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2062311","","200 m2","","Dakar, Sénégal"
"1739533057-72","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-sali-2062320","","1400 m2","","Dakar, Sénégal"
"1739533063-73","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-parcelles-assainies-2062572","150 m2","8","4","Dakar, Sénégal"
"1739533069-74","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-parcelles-assainies-2062590","150 m2","8","4","Dakar, Sénégal"
"1739533077-75","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-2063102","1200 m2","5","2","Dakar Plateau, Dakar, Sénégal"
"1739533087-76","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-lac-rose-2063170","500 m2","6","3","Medina, Dakar, Sénégal"
"1739533094-77","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-guediawaye-2063236","","","","Guediawaye, Dakar, Sénégal"
"1739533104-78","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-saly-2063926","","","","Saly, Sénégal"
"1739533109-79","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-saly-2065414","","800 m2","","Dakar, Sénégal"
"1739533113-80","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-rufisque-2065437","","150 m2","","Dakar, Sénégal"
"1739533119-81","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-5-pieces-saly-2066167","","5","1200","Saly, Sénégal"
"1739533135-82","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-nord-foire-2066474","","6","6","Yoff, Dakar, Sénégal"
"1739533140-83","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-djily-mbaye-2066487","300 m2","7","7","Yoff, Dakar, Sénégal"
"1739533144-84","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-parcelles-assainies-2066498","","3","3","Parcelle Assainies, Dakar, Sénégal"
"1739533184-85","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-damel-2066528","200 m2","5","5","Parcelle Assainies, Dakar, Sénégal"
"1739533190-86","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-parcelles-assainies-2066542","","5","5","Parcelle Assainies, Dakar, Sénégal"
"1739533194-87","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-v-parcelles-assainies-2066558","","150 m2","","Parcelle Assainies, Dakar, Sénégal"
"1739533200-88","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-parcelles-assainies-2066570","150 m2","5","5","Parcelle Assainies, Dakar, Sénégal"
"1739533206-89","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-parcelles-assainies-2066607","","6","6","Parcelle Assainies, Dakar, Sénégal"
"1739533211-90","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-parcelles-assainies-2066656","","5","5","Parcelle Assainies, Dakar, Sénégal"
"1739533215-91","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-4-pieces-dakar-2066860","150","4","2","Dakar, Sénégal"
"1739533218-92","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-saly-2067075","","8","8","Saly, Sénégal"
"1739533231-93","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-terrain-bambilor-2067085","150 m2","4","2","Dakar, Sénégal"
"1739533237-94","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-zone-4-2067098","274 m2","5","1","Guediawaye, Dakar, Sénégal"
"1739533250-95","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-180-m-dakar-2067489","","180","","Dakar, Sénégal"
"1739533256-96","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-guediawaye-2067635","","150 m2","","Guediawaye, Dakar, Sénégal"
"1739533266-97","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-point-e-2068241","650","7","5","Point E, Dakar, Sénégal"
"1739533273-98","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-200-m-cite-mourtada-2068337","200 m2","5","5","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739533283-99","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-600m2-saly-2068380","600 m2","5","5","Saly, Sénégal"
"1739533290-100","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-3-pieces-mamelles-2068424","220","3","3","Ngor, Dakar, Sénégal"
"1739533293-101","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-200-m-patte-doie-2068887","200 m2","5","5","Patte d'oie, Dakar, Sénégal"
"1739533298-102","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-hlm-grand-yoff-2069166","140 m2","3","3","Patte d'oie, Dakar, Sénégal"
"1739533305-103","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-274-m-zone-avilla-2069170","","274 m2","","Dakar, Sénégal"
"1739533316-104","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-ngaparou-2069259","","3214 m2","","Mbour, Sénégal"
"1739533319-105","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-6-pieces-keur-massar-2069316","110 m2","5","3","Dakar, Sénégal"
"1739533323-106","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-ngoparou-2069354","830 m2","6","5","Dakar, Sénégal"
"1739533329-107","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-mamelles-2069374","500 m2","6","6","Ngor, Dakar, Sénégal"
"1739533333-108","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-210-m-sipres-2069515","210 m2","5","5","Keur Massar, Sénégal"
"1739533337-109","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-300-m-saly-mbour-2069620","","5","300 m2","Grand Dakar, Dakar, Sénégal"
"1739533347-110","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-keur-massar-2069766","150 m2","3","2","Medina, Dakar, Sénégal"
"1739533351-111","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-kerr-massar-2069892","","150 m2","","Dakar, Sénégal"
"1739533361-112","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-maison-nord-foire-2070229","150 m2","10","6","Dakar, Sénégal"
"1739533373-113","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2070235","200 m2","10","5","Dakar, Sénégal"
"1739533380-114","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-225-m-nord-foire-2070261","225 m2","8","6","Mbour, Sénégal"
"1739533391-115","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-parcelles-assainies-2070969","150 m2","5","2","Parcelle Assainies, Dakar, Sénégal"
"1739533400-116","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-6-pieces-yoff-2071843","130","6","5","Yoff, Dakar, Sénégal"
"1739533412-117","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbour-2073911","","360 m2","","Dakar, Sénégal"
"1739533426-118","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-ndiaye-lo-2074188","","200 m2","","Dakar, Sénégal"
"1739533430-119","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-alioune-sow-mbao-2074240","","","","Dakar, Sénégal"
"1739533440-120","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mamelles-2074296","","200","","Dakar, Sénégal"
"1739533455-121","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-6-pieces-keur-massar-2074749","","6","180","Keur Massar, Sénégal"
"1739533468-122","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-150-m-tivaone-peulh-2075292","","","","Dakar, Sénégal"
"1739533480-123","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-saly-2075393","","5","300 m2","Grand Dakar, Dakar, Sénégal"
"1739533505-124","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-mermoz-2075687","1 m2","4","4","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739533512-125","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-point-e-2075831","1 m2","15","7","Point E, Dakar, Sénégal"
"1739533521-126","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-r1-ouest-foire-2075863","1 m2","6","3","Sicap Liberté, Dakar, Sénégal"
"1739533532-127","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-12-pieces-almadies-2075893","600 m2","11","10","Ngor, Dakar, Sénégal"
"1739533536-128","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-saly-niakheniakhale-2076031","500 m2","8","4","Mbour, Sénégal"
"1739533544-129","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2076132","4031 m2","5","5","Mbour, Sénégal"
"1739533550-130","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-sacre-cur-2076533","","6","6","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739533562-131","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-750m2-mamelles-2076804","750 m2","5","5","Ouakam, Dakar, Sénégal"
"1739533576-132","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-mamelles-2077219","500 m2","5","7","Dakar, Sénégal"
"1739533602-133","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-mamelles-2077804","500 m2","7","4","Dakar, Sénégal"
"1739533619-134","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2078040","150 m2","4","2","Point E, Dakar, Sénégal"
"1739533624-135","https://sn.coinafrique.com/categorie/villas?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-sipres-1-liberte-6-2078423","1 m2","5","3","Sicap Liberté, Dakar, Sénégal"
